iter	Logloss
0	0.6583935694
1	0.6284677811
2	0.6027852054
3	0.5782881798
4	0.5568088432
5	0.5376529048
6	0.5209575131
7	0.50671264
8	0.4925006259
9	0.475801915
10	0.4651635862
11	0.4547412567
12	0.4453028946
13	0.4362256728
14	0.4271922729
15	0.4197768104
16	0.412382965
17	0.4059343312
18	0.3992802623
19	0.3938468331
20	0.387872023
21	0.3811948442
22	0.3759416796
23	0.3711976985
24	0.3680318708
25	0.3627849862
26	0.3583203296
27	0.3548019414
28	0.3508525907
29	0.3457429512
30	0.3419676196
31	0.3399033496
32	0.3364526153
33	0.3331578833
34	0.3290320507
35	0.3262161203
36	0.3234969243
37	0.3207826128
38	0.3180051155
39	0.3151873881
40	0.3118532855
41	0.3081263047
42	0.305320535
43	0.3034029941
44	0.3015464727
45	0.3001405641
46	0.2975644052
47	0.2951564506
48	0.2930319662
49	0.291385568
50	0.2894803282
51	0.2878867824
52	0.2867416639
53	0.2846088776
54	0.2831954316
55	0.2803995347
56	0.2796975988
57	0.2784247159
58	0.2758043159
59	0.2737042913
60	0.272017808
61	0.2695833376
62	0.2684153661
63	0.2667877442
64	0.2644625903
65	0.263218112
66	0.2618113471
67	0.2594942674
68	0.2571941524
69	0.2559978469
70	0.2550381684
71	0.2540979431
72	0.2528656913
73	0.2520219628
74	0.2501819193
75	0.2488959209
76	0.2471789177
77	0.2462537438
78	0.2449813386
79	0.2439196987
80	0.2415710865
81	0.240035521
82	0.2391720575
83	0.2383902353
84	0.2376243268
85	0.236246482
86	0.2348012913
87	0.2339636652
88	0.2332977334
89	0.2320771806
90	0.2312120641
91	0.2302735907
92	0.2294727002
93	0.2283514766
94	0.2267378855
95	0.2248479769
96	0.2239471625
97	0.2234575359
98	0.2222713752
99	0.2212365929
