iter	Passed	Remaining
0	24	2414
1	49	2403
2	72	2338
3	95	2282
4	117	2228
5	141	2209
6	164	2185
7	188	2170
8	213	2156
9	237	2136
10	261	2116
11	283	2082
12	309	2070
13	332	2040
14	354	2006
15	377	1983
16	399	1950
17	422	1922
18	445	1900
19	469	1879
20	494	1860
21	518	1836
22	541	1812
23	563	1784
24	588	1766
25	611	1741
26	635	1717
27	661	1702
28	689	1689
29	714	1667
30	744	1658
31	769	1635
32	797	1618
33	823	1598
34	849	1577
35	874	1555
36	901	1535
37	926	1511
38	951	1487
39	976	1464
40	1001	1440
41	1024	1415
42	1047	1388
43	1074	1367
44	1100	1344
45	1127	1323
46	1153	1300
47	1177	1275
48	1201	1250
49	1225	1225
50	1268	1218
51	1296	1197
52	1325	1175
53	1349	1149
54	1376	1126
55	1400	1100
56	1407	1062
57	1433	1037
58	1459	1013
59	1483	989
60	1510	965
61	1534	940
62	1557	914
63	1583	890
64	1608	865
65	1632	840
66	1657	816
67	1687	794
68	1714	770
69	1743	747
70	1774	724
71	1809	703
72	1838	679
73	1870	657
74	1895	631
75	1924	607
76	1952	583
77	1981	558
78	2005	533
79	2029	507
80	2053	481
81	2077	456
82	2099	430
83	2122	404
84	2146	378
85	2172	353
86	2195	328
87	2217	302
88	2239	276
89	2262	251
90	2284	225
91	2305	200
92	2326	175
93	2348	149
94	2370	124
95	2393	99
96	2418	74
97	2448	49
98	2470	24
99	2498	0
